Name,About
Riders of Icarus,"Take the battle to the sky with fantastical flying mount combat unlike anything you’ve seen before in Riders of Icarus, the new unprecedented action-adventure MMORPG experience that lets you ride and fight on the back of the realm’s most dangerous winged beasts…dragons."
GunZ 2: The Second Duel,GunZ 2: the Second Duel is a free-to-play 3D TPS and is the most fast-paced tough action shooter game.
AirMech,"AirMech® Strike is a fast paced Action-RTS game that can be played solo, coop, or competitively online. Earn Kudos and Experience in battle and unlock a wide collection of AirMechs and Units while you practice the perfect strategy to emerge victorious!"
Soulworker,Fierce emotions help fuel SoulWorkers to save the world from the devastated scene of a post-apocalyptic world. In a world where only dark devastation reigns – you are the only SoulWorker to come to the rescue.
Cube Escape: Paradox,The tenth Cube Escape follows the story of detective Dale Vandermeer who finds himself trapped in two different universes and needs to escape. Cube Escape: Paradox will be released together with the accompanying Paradox: A Rusty Lake Film.
WAKFU,"Immerse yourself in the WAKFU universe with this free to play MMORPG. Select your class, travel the world, meet adventurers to challenge powerful monsters in epic turn-based battles.Participate in the kingdom’s economy and politics and create your own legend!"
CS2D,"CS2D is a free fast-paced top-down multiplayer shooter. Featuring many different game modes, a built-in map editor and much more."
Radical Heights,"Welcome to RADICAL HEIGHTS, a free X-TREME Early Access BATTLE ROYALE shooter. Partake in high-stakes gunplay as you loot for weapons, gadgets, cosmetics, and CASH! Survive to the end or risk it all in this irreverent action game show where everyone wants to be rich and famous!"
Transmissions: Element 120,TE120 is a short single player experience set in the Half-Life Universe featuring a gravity defying weapon that allows you to jump buildings and sustain large falls. The story takes place at a mysterious date &amp; location. Where are you? Why have you been sent?
Last Year,"Enter the nightmarish world of Last Year, where you and four other classmates try to survive, fight back and ultimately escape a horrifying Fiend in this unique horror asymmetric game."
Elsword,"Elsword is a free-to-play, online action RPG that uses classic side-scrolling game mechanics in an immersive manga inspired world."
Half-Life 2: Deathmatch,Fast multiplayer action set in the Half-Life 2 universe! HL2's physics adds a new dimension to deathmatch play. Play straight deathmatch or try Combine vs. Resistance teamplay. Toss a toilet at your friend today!
Pool 2D - Poolians,"Pool 2D is a free pool game including 8-ball,9-ball,15-ball,3-ball,rotation and blackjack. The graphics are spectacular and the physics are realistic and accurate. Whether you play against the computer or against real players from all over the world online, the action is smooth and fast paced!"
Evolve Stage 2,Play Evolve for free with Evolve Stage 2! Evolve Stage 2 is a next-generation free multiplayer shooter featuring addictive 4v1 gameplay. One player-controlled monster must evade and outsmart a team of four uniquely skilled hunters.
Line of Sight,"Fast paced FPS with high customizational freedom. From game mode customization to an in depth weapon tuning and attachment system up to detailed character customizations, while it was developed so you can choose to either go for high performance or graphical fidelity without an high end PC."
SAS: Zombie Assault 4,"Purge the undead! Intense action-shooter with deep rpg elements, including upgradeable guns and armor, unique class skills, and class special abilities. Entire game can be played single player or as a 4-player online co-op game, including PvP events like Last Man Standing."
When the Darkness comes,When the Darkness comes is a walking simulator whose glitchy and dark tale tries to illustrate the hardships of depression and anxiety through a variety of imaginary digital landscapes.
War Trigger 3,"Destroy, smash and blast your way to victory! Use advanced weapons and vehicles to dominate the battlefield."
Digimon Masters Online,"DMO is MMO featuring the ever-popular Digimon franchise. This long awaited game will feature a deeper RPG experience, enhanced graphics and adrenaline-pumping real-time combat. Both new and long-time Digimon fans can now immerse themselves into this new epic adventure with their very own Digimons."
Divinity: Original Sin (Classic),"Gather your party and get ready for a new, back-to-the-roots RPG adventure! Discuss your decisions with companions; fight foes in turn-based combat; explore an open world and interact with everything and everyone you see. Join up with a friend to play online in co-op and make your own adventures with the powerful RPG toolkit."
Ylands,"Adventure awaits you and your friends in the world of Ylands! Gather resources, craft tools, construct anything and everything, and explore the lands! Build a ship and set sail, encountering mythical animals, a wide variety of sea-life, enemies of all kinds and much more!"
Vindictus,"Enter a dark and sinister world where you must battle for survival. With gratifying real-time combat, epic monsters, and glorious visuals, this isn't just another MMO... This is VINDICTUS!"
RetroArch,"RetroArch is an open source and cross platform frontend/framework for emulators, game engines, video games, media players and other applications"
ArcheBlade™,ArcheBlade is a free to play 3D multiplayer fighting game that captures the essence of combo-based fighting games combined with unique game modes. Play as one of many characters and master your skills to become the best fighter.
Knightfall: A Daring Journey,"Two knights, a strong bond, and a long journey. Take up the race for the rose, ride from town to town and take shelter before nightfall by any means necessary! If your bond is strong and your horse drifts well, you can be the recipient of the fabled rose. Luckily you brought guns!"
A.V.A Global,"A.V.A is a classic FPS shooter game featuring various types game Modes. Depending on the battlefield, you can choose Pointman, Rifleman, and Sniper and enjoy strategic team play."
Fallen Earth Classic,Fallen Earth Classic is a free-to-play massively multiplayer online role-playing game developed by Reloaded Productions and operated by Little Orbit. The game takes place in a post-apocalyptic wasteland located around the American Grand Canyon.
Unfortunate Spacemen,"An online multiplayer game about shapeshifting deception and betrayal! As a hapless, brave spaceman employed by The Company you'll work diligently to defend and be rescued from failing outposts, but not everyone around you is who they claim to be..."
Zula Global,Zula is an intense free-to-play FPS in which you can play cooperatively with your teammates to overthrow the enemy side. You can enjoy new content weekly and receive gifts every day. Variety of maps and weapons from the real world so you can immerse yourself 100%.
Dungeons & Dragons Online®,Enter a world of danger and adventure with Dungeons &amp; Dragons Online® based on the beloved RPG that started it all.
Stormgate,"Stormgate is a free-to-play RTS in active development. Featuring competitive 1v1, 3P co-op missions, and an evolving campaign, Frost Giant aims to build the next great RTS, guided by player feedback. A 3v3 mode is also on the way, so join our development journey today!"
Art of War: Red Tides,"Art of War: Red Tides is a fair multiplayer strategy game that allows different teams on the same platform (e.g. smartphones, PC, etc.) to battle against each other. You will encounter players around the world!"
Planet Explorers,"Planet Explorers is an open world sandbox adventure RPG game set on a distant planet. The game uses a new OpenCL calculated voxel system to allow players to change the terrain in any way, create new objects such as weapons, vehicles, objects, and do it anywhere."
Relic Hunters Zero: Remix,"Relic Hunters Zero: Remix is a remaster of the FREE 1 million player hit game about blasting evil space ducks and turtles with tiny cute guns. It’s fast, it’s tactical, and feels deliciously smooth to play. Unlock new weapons, characters and relics to defeat the Ducan Commander!"
Super Crate Box,"Vlambeer's SUPER CRATE BOX is coming to bring back the glory of the golden arcade age, when all that really mattered was getting on that high score list. Grab your baseball cap and loosen your pants, it's time to fight endless hordes of enemies and collect every weapon crate you can."
Serena,"How long has it been? A man sits in a distant getaway cabin waiting for his wife Serena. Where is she? Things in the cabin evoke memories, and the husband comes to a disturbing realization... This short point-and-click adventure is the result of a massive collaborative effort between dozens of fans and designers of adventure games."
Firestone: Online Idle RPG,"Firestone: Online Idle RPG is a multiplayer fantasy game with idle rpg mechanics. Collect heroes🧙‍♂️, upgrade their gear &amp; skills, and send them in idle battles or go on an incremental clicker frenzy to beat monstrous bosses! Chat with guild friends or engage in PVP⚔️- the choice is in your hands!"
Bloons Monkey City,"Create, upgrade, and customize your very own Bloons Monkey City in this groundbreaking blend of city building and tower defense awesomeness!"
PRO EVOLUTION SOCCER 2019,"Feel The Power Of Football with PES 2019 offering new licenses, photo-realism and new myClub!"
TOXIKK™,"FRAG LIKE IT'S 1999! TOXIKK plays as if today's military shooters never existed: Designed as a spiritual successor to the FPS giants of the late 90s and early 2ks, TOXIKK carefully evolves their mechanics with modern technology and fresh ideas elaborated with Arena-FPS enthusiasts."
Devolverland Expo,Devolverland Expo is a first-person 'marketing simulator' set within an abandoned convention center after the annual Devolver Digital game expo was mysteriously canceled.
Space Hulk: Deathwing,"Space Hulk: Deathwing is a First-Person Shooter experience based on Games Workshop's classic Space Hulk boardgame set in the universe of Warhammer 40,000."
Call of War: World War 2,"Take over the control of one of the mighty nations during the times of World War 2 in this persisting long-term strategy game. Conquer provinces, forge alliances and build up your economy in real-time. Research top secret weapons of World War 2 and become the one true superpower!"
Propagation VR,"Combining survival horror and static wave shooting, Propagation VR will get your adrenaline pumping as you try to survive a zombie apocalypse. Armed only with your guns and your fists, fight off terrifying zombies and other multi-species mutants. Will you get out alive?"
Boring Man - Online Tactical Stickman Combat,"Battle other 2D stickfigures online while jumping around like a lunatic and getting blown up into smithereens. With over 70 weapons, Boring Man is the most chaotic and hilarious 2D online shooter on the internet."
Ninja Kiwi Archive,Enjoy some of the best loved Flash games of the past in this awesome time capsule of over 60 Ninja Kiwi classics. Experience a piece of history and play the original Flash games that spawned the worldwide phenomenon of Bloons TD.
Atlas Reactor,SEASON 6 NOW LIVE! The battle for Atlas continues as a hot (some might even say fiery) new freelancer enters the scene.
Hide and Shriek,"Scare or be scared in this FREE adrenaline-pumping multiplayer game full of hijinks and mischief! Set traps, cast spells, and scare the living hell out of your opponent to win!"
Card Hunter,Shuffle your cards and ready your dice - Card Hunter is a fresh new card gaming spin on classic tabletop RPGs. Battle your way through a massive campaign solo or with friends and compete with other players in ranked play and tournaments.
King Arthur's Gold,"Would you enjoy building CASTLES, traps and siege machines in MULTIPLAYER? And then undermine your opponents castle and collapse it with 2D PHYSICS &amp; DESTRUCTION?"
BrainBread 2,"Grab a weapon, demolish your enemies, level up, become more powerful, let the gore flow, let the limbs fly. BrainBread 2 introduces a zombie fps mixed with RPG / Arcade elements, the game is very action-packed and generally fast-paced."
Panzar,"PANZAR is a fantasy multiplayer third-person shooter. You get to choose from eight unique character classes, team-based PvP battles, exciting PvE adventures and regular tournaments with real prizes. Advanced RPG elements, the non-target combat system and the most modern graphics by CryEngine 3 will make your combat experience..."
Blameless,"Blameless is a mysterious first-person adventure with primary focus on puzzle solving and short story. The player will appear in a role of an architect trying to investigate strange happenings, after discovering evidence of an act of violence."
Strife®,"Strife® is a truly free to play, competitive, MOBA that features non-stop action and engaging combat. Take control of powerful and versatile heroes, each capable of dominating in unique ways, and exert your will in an epic battle between two teams."
