Name,About
CRSED: Cuisine Royale,"CRSED: Cuisine Royale – is a brutal MMO last-man-standing shooter with realistic weaponry, elements of lethal mystic forces and incredible superpowers!"
Neverwinter,"Neverwinter is a free, action MMORPG based on the acclaimed Dungeons &amp; Dragons fantasy roleplaying game. Epic stories, action combat and classic roleplaying await those heroes courageous enough to enter the fantastic world of Neverwinter!"
RISK: Global Domination,"Take over the world in RISK: Global Domination, the iconic strategy board game with 100+ original and classic maps and millions of players"
Quake Champions,Step into the Arena. Compete against players from around the world in this fast-paced shooter that combines the dark mythos of the original Quake with the skill-based competition of Quake III Arena. Become a Champion.
HITMAN™,"There is a world beyond ours. Beyond nations, justice, ethics. It never sleeps. It exists everywhere. And once you enter....there is no going back. Welcome to the World of Assassination. You are Agent 47, the world's ultimate assassin."
APB Reloaded,"The world’s first and premier Action MMO Third Person Shooter allows you to choose between two sides of the law. Play as Enforcer or Criminal, customize your gear for the task at hand and hit the streets and play how you want in a city filled with more action this side of a Hollywood blockbuster."
HoloCure - Save the Fans!,"Play as your favorite Vtubers from Hololive! Fight, explore, and clear your way through armies of fans and save them from their mind-control in this unofficial free fan-game."
Pixel Gun 3D: PC Edition,"The legendary mobile multiplayer FPS Pixel Gun 3D comes to PC! Experience an enhanced world of colorful, blocky action. Featuring dozens of game modes and maps, 1500+ guns plus cross-platform multiplayer and progression."
Shakes and Fidget,"Shakes &amp; Fidget is a hilarious fantasy role-playing satire and at the same time, an award-winning RPG! Sounds crazy? With over 50 million enthusiastic players, it ranks among the most celebrated online role-playing games worldwide!"
DCS World Steam Edition,Feel the excitement of flying the Su-25T 'Frogfoot' attack jet and the TF-51D 'Mustang' in the free-to-play Digital Combat Simulator World!
Fistful of Frags,"Multiplayer based, first person enabled, action packed and skill demanding shooter set in the Wild West times. A unique combination of non stop action and slow but powerful weaponry."
FPS Chess,Battle a friend in this fast paced 1v1 class-based first-person shooter. Chess takes a back-seat to FPS as you win duel after duel and capture the opponent's pieces until you've beaten their king and won the game.
EVE Online,"EVE Online is a free-to-play community driven space MMO where players can choose their own path from countless different options. Experience space exploration, immense PvP and PvE battles, mining, industry and a thriving player economy in an ever-expanding sandbox."
One-armed robber,"One-armed robber is a chaotic first-person heist game that centers around a uniquely challenging premise. Players take the role of a determined robber equipped with only one arm, tasked with pulling off daring heists on banks, shops, and various establishments."
KARDS - The WW2 Card Game,"KARDS, The World War II Card Game, combines traditional CCG gameplay with innovative mechanics inspired by classic strategy games and real battlefield tactics. Take command and challenge other players in grand-scale warfare on the ground, air, or seas."
DDNet,"Want to play the hardest cooperative 2D platformer ever? Want to finish no map ever? Want to be in pain for hours and cry, getting nothing in return? Come play DDNet with a large community of other sufferers!"
POLYGON,"POLYGON is a tactical multiplayer team 1st person shooter. Using various weapons, you will battle with up to 32 players on large-scale maps. Properly managing your arsenal and skills, you will lead your team to victory!"
KurtzPel,"'KurtzPel is an anime-styled, action battle game from a third-person perspective. Players can battle it out in both PvP and PvE mission-based battle modes with massive boss monsters. Players utilize Karmas (the method used to indicate weapon and class types) when charging into battle. Each character gets to use two types of Karmas."
Infestation: The New Z,"The New Z is a FREE TO PLAY multi-game mode experience. SURVIVE with friends and gather loot, stash and trade. Go into wars against other groups in a massive OPEN WORLD or face them 5 v 5 in COMPETITIVE."
Street Fighter™ 6 - Open Beta,"A new era for fighting games begins! The Open Beta of Street Fighter™ 6 allows players to experience certain game features in the Battle Hub. Open Beta Schedule Planned for May 19, 2023 (Fri) 12:00am PDT - May 22, 2023 (Mon) 12:00am PDT"
Maid Coser Airi-chan,
Legend of the Dark War God,复古版本经典MMO游戏，装备无限自由打，享受至尊体验! 没有变态的装备，只有最经典的情怀。
武林至尊传,斩杀江湖恶霸，抢夺神兵利器，带你重温打怪升级，打BOSS掉装备的乐趣。新手第一日充值红包大量送，让你在江湖中铸造属于自己的传奇人生！这是一款以江湖武林为背景的类传奇MMO RPG游戏。
百鬼图鉴-国风.挂机.卡牌.游戏,《百鬼图鉴》是一个卡牌养成策略回合制游戏，以中国古代神话故事为背景，玩家扮演唤灵师，召唤百鬼，征战阴阳两界。
三国.名将传,今天下三分，主公可徐徐图之，则霸业可成，汉室可兴矣！
Trigger of Time,
Anime Girls - gacha game,Enjoy an epic adventure with cute girls in an Anime RPG world!
美少女战姬-二次元.卡牌.养成.游戏,LSP必入！可甜可御的美少女等你来养成！福利满满，上线送3650抽！
Conqueror's Blade,"Conqueror's Blade gives you a chance to be a true warlord. Commanding medieval troops in epic 15 vs. 15 siege battles, conquering cities with allies in the open world or fighting against players from all over the world – it's you who make the choice."
Emily is Away,Emily is Away is an interactive story. Create a screenname and choose your path through the branching narrative.
Bloons TD Battles 2,"From the creators of Bloons TD6... Bloons TD Battles 2 is a brand new installment of the top-rated head-to-head tower defense game. Gather your Hero, choose your team of powerful Monkey Towers, and prepare to battle one on one against other players and relentless waves of Bloons!"
MARVEL SNAP,"MARVEL SNAP is a fast-paced Collectible Card Game that reimagines the genre with innovative mechanics. Winner of multiple awards like 'Best Strategy Game' and 'Breakthrough Game of the Year,' we invite you to join millions of players worldwide – Jump right in!"
Sven Co-op,Sven Co-op is a co-operative game originally based around Valve Software's Half-Life. In this game players must work together against computer controlled enemies and solve puzzles as a team.
Bless Unleashed,Bless Unleashed is an open-world online game that can be enjoyed with your friends and countless others. Venture out to engage in intense combat while exploring vast regions and treacherous dungeons.
Freddy Fazbear's Pizzeria Simulator,Start your own Freddy Fazbear's Pizzeria with Freddy Fazbear Pizzeria Simulator!
We Were Here,"Lost in a frozen wasteland and split up from your partner inside an abandoned castle, the only possession you have left is a walkie-talkie with a familiar voice on the other end. Can the two of you find your way out in time?"
Bloons TD Battles,"Go head to head with other players in a Bloon-popping battle for victory. From the creators of best-selling Bloons TD 5, this all new Battles game is specially designed for multiplayer combat, featuring the ability to control bloons directly and send them charging past your opponent's defenses."
Transformice,"Transformice is an MMO platformer about dozens of mice running to bring back the cheese! Will the almighty Shaman help you or just ruin everything? Millions of levels, hectic physics, skill trees, and more importantly... hats!"
One-armed cook,"One-armed cook is a chaotic co-op cooking game for up to 4 people. Work as a team or cook on your own, set your own pace, and don't let the stress of a full restaurant catch up to you. The goofy physics-based aspect of the game gives this cooking game a new twist."
Crush Crush,"Welcome to Crush Crush - the Idle Dating Sim! Meet, flirt, and fall in love with a motley cast of girls in this heartfelt and hilarious game."
Awesomenauts - the 2D moba,"Use your power, show your might! Play this Multiplayer Online Battle Arena (MOBA) game for FREE now! AWESOMENAUTS combines 2D platforming with team-based strategy and hero based action. Whether you are a new recruit or an intergalactic legend, play AWESOMENAUTS!"
Dead Frontier 2,"Survival horror MMO. As one of the few survivors of the outbreak, you must scratch a living out of the decaying ruins of society. Scavenge for supplies, improve your skills, and trade with other players. All the while, keeping your eyes peeled for the infected lurking around every corner."
GWENT: The Witcher Card Game,Command mighty Witcher-world heroes in epic online PvP card battles!
Soul Dossier,"Soul Dossier is a multiplayer game based on Oriental culture (5vS1). The game is based on a variety of traditional Oriental cultures, including five elements, eight diagrams and folklore."
Blackwake,"Blackwake is a multiplayer naval FPS focused on teamwork and cooperation. Fire the cannons, sink enemy ships or board them with firearms and steel."
SCP: Containment Breach Multiplayer,"Multiplayer survival horror game based on stories from the SCP Foundation. The game is about a facility containing anomalous entities known as SCPs. When a catastrophic containment breach occurs at one of the facilities, it is your main goal to escape the facility. Try to escape with your friends!"
War Robots,"War Robots is an online third-person 6v6 PvP shooter—we’re talking dozens of combat robots, hundreds of weapons combinations, and heated clan battles."
BLOCKADE 3D,"BLOCKADE 3D! First Person Shooter in an editable procedural cubic world. A large arsenal of weapons, 4 teams at the same time and up to 32 players on one map. A large number of game modes!"
Palia,"Palia is a vibrant new world made just for you. Craft, cook, fish, and farm with friends as you live the life of your dreams and discover an enchanting adventure filled with colorful characters and a mystery to unravel."
Rogue Company,"Join 20+ million players in Rogue Company, the ultimate third-person tactical action shooter! Become an agent of Rogue Company and wield powerful weapons, high-tech gadgets, and game-changing abilities. Accept the mission and jump into a variety of 4v4 and 6v6 game modes. Play FREE today!"
RuneScape ®,"RuneScape is a high fantasy open world MMORPG. Explore an ever changing and evolving living world where new challenges, skills, and quests await. Featuring unprecedented player freedom, you choose how to play, adventure, and grow."
Leaf Blower Revolution - Idle Game,"Blow leaves, upgrade your gear, and automate your progress as you explore the Leaf Universe. A satisfying incremental idle game where every leaf blown brings you closer to the next big upgrade. Simple, relaxing, and endlessly rewarding. Let the leaves fall, and your progress rise!"
Lost Light,Join the 'Firefly' task force and unveil the sinister plot behind the exclusion zone in the world of Lost Light. You could either scavenge for supplies or go out with guns blazing and plunder. Survive the brutal domain where danger lurks in every corner!
Stay Out,"Stay Out - is a MMORPG with shooter elements, based on spirit of “stalking” - an urban exploration, searching and exploring mysterious, abandoned and forgotten by humanity pieces of our planet."
Artifact,"Artifact now features two games: Artifact Classic, the original Dota 2 trading card game, and Artifact Foundry, a special edition with streamlined gameplay, new cards, new single-player content, and an improved new player experience."
BlazBlue Entropy Effect Beta,
Football Manager 2021,"New additions and game upgrades deliver added levels of depth, drama and football authenticity. FM21 empowers you like never before to develop your skills and command success at your club."
Phantasy Star Online 2 New Genesis,Phantasy Star Online 2 New Genesis is a free-to-play action MMO. Join players around the world to explore the planet Halpha and fight in epic battles as ARKS Defenders! Unleash your imagination with our ultimate character creation experience and creative spaces to create your own phantasy.
Magic Duels,"MORE CARDS. MORE STRATEGY. BIGGER STORY. Collect 1,300+ earnable cards, battle in 60+ single-player campaign missions, and emerge victorious in epic online duels."
GrandChase,Grand Chase is a free side-scrolling online action RPG with anime inspired graphics. Enjoy exciting adventures in dungeons and PvP with unique characters.
